Restaurant,State
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/fresno_valley_lahvosh_baking,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/irvine_zpizza,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/laguna_niguel_i_love_bagels,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/san_diego_tilted_kilt_mission_valley,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/san_jose_buca_di_beppo_-_san_jose_-_oakridge,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/santa_cruz_ristorante_italiano,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/tracy_applebee's_tracy,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/hermosa_beach_patrick_molloy's_sports_pub,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/menifee_giovanni's_pizza_and_pasta,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/sacramento_milanos_pizza,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/alameda_the_fire_den,http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/california
